message
Be sad cunt
Bloody
Dont act drunk there
Worst place for alcohol to hit
Hmm
Valid
By 6 45 ok guys
And sri skirt or pent?
Yea
Ent i wore
Pent
Asking u
Text when yall lev
I think we gonna lev in 2 min
So sat plan on no🙂
Divide this shit
Waow
Im the least
So proud of me
Send bacchus selfies
U gay
Ill slap u
I won't slap u
Bhai post worthy tho kuch dikh nhi rha
Which ones good
Ooh
Gannd
😂😂😂😂
U cant get anyone laid gay😔
Chut
Ok👍🏻
😂😂😂
Jute?
😂😂😂😂
😂😂😂
Jute vadai
Lmao
Fqk guys
Anybody down for bacchus tonight
Like a light drinking
And gossip
Thoda jobless hai aaj
Also thers some halloween thingie at ecs today
Ig its costs money tho😔
Ye ok
Guys kal rhe na
Raat ko
Lessgooo
Arshole
Yass
Guys
Ho gya?
Sharp 7 guys
Poochina didn't come yet
7 ko if i don't see anybody at gste
The drinks on them
Yess
Guys 7 15
Pls id we go early we get more time to chill and drink
Jaldi jaldi me we cant talk n all or play games
Bro before it starts raining its good if we go
Get umbrellas guys
Baarish ho rha hai
We leavin 13
Comee
Hum so gye the bc
Itna marr gye the hum bhai
I don't remember shit
Guya
Guys
Photo choose help
Hum jisme acche lagte he
Ignore pallu
She's emoting in everything😭
Open
Tbh anything
I like that too
This gand pallu
Yeas
Behen
Chod
Ull become rich overnight
We ded asleep
Hehe
Lessgooo
Send pics if alive
@⁨Sridha Hockey⁩
@⁨poochina 🦙⁩
Judge me
Wecom
Madd
Whers this
Ooooh
Madd
Bhai
Ur coming today prac or no
U mind not being in the photo?
Ur there in formal
But try bro
Exactly
Tell hardly 30 min ill be back
6 or 6 15
Ill text u
I have
Whats this
Behenchodo naaa
To u?
Thamanna had pizza? @⁨Sridha Hockey⁩ @⁨poochina 🦙⁩
Dtr
And did u have sri?
Oki
Guys dtr ka share
Correct?
Pay araam se no hurry
Just incase yall think of going
We shud do something bro
Im never this free
Gayyyy hasss itttty
2nd dec
Plss
Pics kalisi guys
Kudkasssss
Brace yourselves  730 max we try to leave
For the kudkaestt party of this sem
Idk
Wait
Its 8 guys
How tf well get a tablw
Yea bc it raining
😂😂😂😂
Omg guys
Im sori for waking yall up
But thers something in ecstacy on 19th im jusht telling ok
Omgg ill reach around 12 pm min in campsu
Is anybody gonna be there
My suitcase will be lonely in 22😭
If its there for long theyll actually think bombs there
Yea
Is bro sridha
Ayo
Send him back to malqysia
Shey
Guys zodiac has bollywood tomorrow
Idk price ill ask and tell
150
Before
Well go thaloor direct
Booze there and go zodiac
Yea
Hehe
Whats soho
And whers that
Wherr
Mandavi what
Emrald?
Thats emerald
Omg sri when u calculate the money add this 1600 for 5 ppl
Who ever paid for daaru
And how r we dividing daaru
All daaru for everyone or what
Nigas if possible send 320 oki
And sri u cancel my romanov paisa from it
Gand
30 cr
I got
Send ahh
Got dear
Ahh is ass
Crazyyy
Thers this lmk if anyones going
Yeasss
Looks kinda funnn
Waw
We ready
Drunk avi
Do u have lunch treat today
Cos else i have a place to be at
If no treat of urs
Guys i think i falling sick crazy
Oki
Idk eyes r watering throat ache n all
Like symptoms
Might fall ill later 🤙🏻🤙🏻
Yea bro waw
Is it cos u French kissed me yest
Shit
I told u no no
Whyd u force me
Im so hungry
Yea
Bro i took 3 diff tablets
One muscle pain one cold flu and other headache ig
Im more hungry now
Or is it cos i was hungry i ate tablets🤨 <This message was edited>
Oki dear
If u find my dead body pls cremate it
Mwahaha
Yea
Waw
Unlimited
Guya today is the soho free party
Free shots free entry
*🚨 Important Announcement 🚨*
Gands r we going soho
Sheet
Stgg even i wanted tooooo
This gands
This some guy keeps giving me party updates
Idk why
Cools
How do i get him a crowd
Guys anybody down for ecstacy tomorrow
Night
Niga u going house party no
Yea lavdus
Anybody ecstacy tonight?
Gand gay
Gand plu
Ik lavdus <This message was edited>
Thats why wrote gand to u both
Shets
U gand u
Yess
Guys we going?
Sohu
What shud i do to make u feel
Put my fist up ur ass
Guys btw look what this cam captured🤭
Ahhshhsbesj
Ur all lil gonds
Guys think abt it again
We have time
We dont have to pre booze n all direct soho drink free and run back
We can leave at 10 also cos anyway we take time when we preboozed
Gand
You deleted this message.
You deleted this message.
Nvm
Im bored
I wanna go skmewhere
Dressed up
Thats me
U r a good lavdu
*🌴🔥 MALLUMINATI – Onam Special 🔥🌴*
Gay
Gay ass name
Get pics from reha
Is it reha
Guys
What time tonight
Ohh
Btw guys im so confused
Like i have leave from today
Stfu
Guys man pls
Well never get free like this
8 30 we r leaving
Stfu and get ready
Yessir
They watching barca match
Yea i gotta go room and transfer
Also bro can u get my bag with all my stuff like high tea time
Mainly the cam charger and shirt earring makeup
The straightner u keep
Straighten urself
Gay nig
Nig im going home tonight
Rahul bhai is coming home tomtrrow🤭
Yee
Bolti mei
Theek begum
You deleted this message.
Oh sht
Okk
Thnx bebs
Can we go somewhere tonight
Dtr
*✨LADIES NIGHT @ SoHo✨*
Guys i feel like making maggi and sweet corn in room
And eating
And drinking in room
Im so lazy to get my ass up
And money shortage after i spent on ines bhai
That gay
Any other restaurant?
Than dex
Khalid r u club or chill drink
Im feel just chill max to max chill drink
Nothing else
Guys then lets just room party
Why not
Why
Bro imagine crazy room comfort food then movie
So much cute and fun
Okok yall can go
Im physically not dancable
Idk feels like i still have chance of fainting
Huh
Huh
Jersey?
Where
Gand waw
Yea ask
And  check around 22 also
Ohh then u mustve left somewhere else
Either at tama place only
Or whereever yall went
And in campus only she gave it to u?
Ok for me
Yes 30th morning no
Ma chudaye
Wait wait give 5 min
Ill ask inesh ka fren kunal
Kunals from goa so well book the airbnb
Ikik
But we shud book both tog
Im gine with any
Or can we all book both tomorrow all sitting tog
Well just decide dates today
Nahhh
Too less
At least one full day we shud get
Exactly
Rarely appa allows
And we stay one night
When r yall going
Can the 29th thing be preoned
When are the train timings
If thers train 530 from goa we can come 2nd no
What time is vande bharat
Omg pro planner plu
Yea kiss him
Lets not tell them
Yea exactly
Well say early morning train
Yea
Oh shit
Ok 30th whens the earliest train
Yea well go vandebharat
Either vandebharat or 530 ka train
Yea agreed
See if u can prepone we go 29
Else 30
But book an early train
28th
Right after
What time
Date no?
28th eve possible ask once
Same
I have no problem coming back 3rd also
Mwahaa
Shett i get it
Then fuck paper check
No point going for one night tho 😞😞
That too a parent like mine
Agreed is crazy
One night we gotta go pls
Bitch just drink and sleep?
Nah stfu
Noooooooo
Nahhhp
My appa im telling u hell just switch his mind anytime
Even this month anyday
Nahh i dont likep
😞😞😞
It is kinda travelling only is time consuming
We gonna be a bit tired
Try to ask him after 2nd last exam
Yea bro
Not possible everything in one day bro
U dont even know how far each place is
Might be
Might be the last time theyll agree to this
Ikkk i get it but brooo
Like everybody issue only
Urs will bro
Mine i cant asure
Im even scared to ask them again ki we booking tickets give money
They might go like wait lemme think abt it again
Ill cry
Mera bhi ho rha hai
Whens his exams ending
Strip for him
Lap dance
Yassss omgg
Bro in that 4 days we can go goa
Aww i like kursi
29th whens trains
🤭🤭🤭
Okk
Return also check pla
This sem ka well help plan
Pls guys so i can show mum
Kudka cant bep
For 2 days
Shet
He also doesn’t know kannada
💦😭😭
Thers no later train?
Dhruti Rathnakara
Do this
Jain guy they serve?
Check some YouTube vid
Dad gave full pep talk on how to be in goa
No drink no club no casino no scooter no water
Beach
Shutup we dont have money
Yes
Or any waiting
Why
We usually get waiting
What does waiting mean
Where r they waiting
She under age
Add and tell
Get aadhar
Print and laminate
Sometimes to enter they ask
Yeeeeeeeeee
Check airbnb near anjuna beach
These r all anjuna area
Ask ur friends where is it good to stay in goa
Ig north goa besht
Near beaches
Anjuna baga
Either of the beaches baga or Anjuna
Baga
Baga Beach
Purple Martini
Guyss bra timeeee
Beach braaa
We shoot this
Yeasss
🤭🤭🤭🤭
Somebody buy a cam
We neeed omggg
If any of ur friends have cam ask
Ooh
Its 2k
Lmao
Dont yall think we shud book airbnb
Any of ur frens stayed in goa
Ask baga fine?
I told inesh baga he said nice
Its Near anjuna also
Yessir
Plu ask ambika
Where she stayed <This message was edited>
Area
And ask if baga good
Nah i feel we shud book near a beach
Cos we can aramse walk beach n all and come
If we book centre mei only those aesthetic walking place well get
Yea so see only in panaji well get that walking place
We cud book cab and go there
And come back
And club places r at baga if we drink its ez to come back room
Inesh said good to book near beach
And those aesthetic cafes r at anjuna beach
Thats at panaji no
Try staying near morjim or even vagator its good
Baga is also good
Most of the places are pretty close
Kunal
Hes saying panjim too central
Yes panjim is pretty central
You guys can keep one day for panjim
Oh nvm
Well book beach and go panjim in cab next day is what im thinking
Its 30 min from baga to panjim
Apart from that most of the clubs and good cafés would be close by to baga side
For lunch if you guys wanna try seafood you can go to a place called the workshop
Nah bro we gotta dress up no
Or we shud go dressed up
In train
Haa valid
Its centre no
Idts
Its thoda cut off i feel
From main places
And best beaches in goa is anjuna baga
Idk hows panaji beach
Yess
Yess exactly
Yea ig baga anjuna side best
Yea bro
But main parts in north only
Yea
South goa lil secluded ig
Yes
Yessirrr💃💃💃💃
Checking if any other
1. Baga beach
Yea yea
6 guests 2 bedrooms 4 beds 2 bathrooms 8500
Oki check if any other is also there
Cheaper than most of the ones i checked
😭😭😭
Wait wtf 1 guest 8.9?
Cant let plu book any shit
Wait idts
Ooohhh
There are few forts nearby
I guess the ones in tito lane is mostly free or very less for girls
Clubs
🤭🤭🤭🤭🤭🤭
Whats tito now <This message was edited>
Yea its good
For the airbnb
Tit o
Kunal
Hes goan
Plu
She has has the TIT O
Wtf
Ask ask
Resort might gaand phaad
Inshallah what if this is his🤭🤭🤭🤭🤭
Same
The old ones location
Thers some tibetan market or something
And some wax museum
And some brittos beach side restaurant looks good
Search this place called romeo lane
Sexy it looks
Bro this place so sexy
Price is high
But omg jerkable rooms😭😭🙂
No just look
Bro ull jerk
Open
Bro i wanna jerk in that
Fr bro fuck
Yea lmao
With tax itll be 17
Valid
Idk whers assagao also
Search this noah goa
Behenchod
hilltop was 500 for women usually 10p0
and dynamo for 800
all north
yeaaa I loved dynamo
make sure to go bars
darling soko and all
that lanes name I forgot
but go bar hopping on that lane
anjuna
Time to make scarf tops
We shuddd
omgggggg
iwannaaaaaaa
oi gay
if u get money book asap pls
lmao
"Voice call, 17 min • 3 joined"
gay
check if we hav to pay full or partial
while booking
Boook gand
Ooh yee
Yeeee
Crazy
Khalid is from doc
"Hey, check out this product on Meesho!"
@⁨Avi Muhammed Sumbul⁩ u should get
Frr
yeee
Yea
But thers arpora market
Just on the line of our hotel
Saturdays
Well go just as we reach
🤭🤭🤭
"Hey, check out this product on Meesho!"
Avi
Guys one bra thing is like
Thers string to tie type
So shud i get 28b or 30b
Is my straightner in ur room
Sri gay
Oki
Phillips no
Guys do we buy a cam
Disposable cam
Hehe
Guys i just booked something
Looked good and free in Anjuna beach
Place looks fun
Ohh
Titos club is there
I was checking hilltop and dynamo
No scenes as of now
So just booked this if no tito too well just go here
Tito mostly will be there
Keep checking tho in sort my scene n all
Which one
And if anyone has bandages pls pack it too
Can u guys call
Say Gayatri
With glue
Lmk if anybody wanty
Mwahaha okk
Its at plu ka room
Wait omg i might want the glue
I have those tapes to stick in plu ka room
Im taking head bath tonight so i might have to restick it again
If u want glue then we stick in the train tommo
Guys dont forget adhar card
Well need to vwrify ticket in train also with adhar
Or photo whatever
Guys speaker
And get a adapter
9am sharp at sp
Powerbanks pls
Ask somebody guys but pls try to get
Nigs
Anybody has small shampoo pls get
Straightener yes
Nigg thats why i told bag not enuf
Nicely nono ill bring everything dw
Nigg make one collective auitcase for u both no
Ok bring one jute bag
My straightener shud reach
Stfu
Get it
Put in sri bag
Text in morning
Yeeee
Yea if its per day well just book her
Ertiga is 6 seater
Yes mainly to go churches n all
She said shell drop us to baga in 2500
From madgaon
How much does goa miles charge check
Website
Sedan i dont think well fit
Put on the website and see
What time we reach madgaon
Exactly
Im checking on site
So can at 1 15?
Cos i dont think this train will get delayed
Cqb*
Put 6 ppl
Ohh
Check areia de goa as exact location
Oooh
This better
Got😏
Yesss
Guys adhaar plss
Dont forget
Gay pls get straightener somehow
Put it in ur bra or whatever but get it
Guys 9 ko sp?
Are yall ready
I plu will leave in 5 min
Location:
Yessir
Yes girl
Yoyo
One chicken sandwich
Order maadi
Whyy
Photo?
😭😭😭
Paavam aunty
Exactlyyy bc
Day
Tomorrow pls
Im staying out tonight
Take it home
Yea u guys have
Finish if possible
Drink with ur dad
Shitt
I wanna tomorrow
Source: BBC News
Chud gye
Guys can anybody call me whatsapp
I just wanna see if my sim working
Guys r we the problem
Wherever we go something bad happens
Arpora💔
Shet
Who went there
I think cos avi was thinking of going there
Can we go
Sax 2016 songs
Guys this is apparently hosted by ineshs one friend
He said hell ask if we can get ticks for less
So how many
Not sure if he can get but hell ask apparently
Yea she saying
Wheres the ticks online?
I can’t see bro
Ohh its 200 as of now
Nah
Tell them shut up
Bro lotta ppl going here
Yea tell this club thing many ppl planning keep sat
Nig
Okk plsss
Yes plos try besht
Nah niga
Her mummy will slap me
Nah guys inesh is not that useful also <This message was edited>
He can’t get ticks
Well book fast
Itll increase orelse
Well get?
Everybody purchase for yourself
Guys
Wait don’t
Don’t purchase
Might get tics
Atreyee is the spelling?
185 per person itseems
Discounted
Else its 210
Lil help he did
Whoever wants tic send 185 to me ill send inesh and hell get tic
Disgustingest sticker
Okk just confirm number of tics ill send money to him yall pay me whenever
@⁨Atreyee⁩ @⁨Avi Muhammed Sumbul⁩ @⁨Sridha Hockey⁩ ?
Guys i paid
1110😔
money kalisi swalpa matthe adasthu bega ok
6 ppl
Tanmayi also wanted ticket
185 only
Awwieee
Bccc
Ho gai Tumhari ticket
Guest list Mai naam hai
Anybody wants to go thalloor like afternoon and get booze for pregame
In room
Itll be filled
And lil i dont like preboozing in thaloor
Whatever yall say
Omg can yall send 185 im inesh place rn anyway
Ill get my booze
Yea
What one brocode?
How many
Omg can two of us go later on
Like after class
Same
Okkk u me sri go
Yesss omgg
I have like 300 in acc
Char log?
Full day she has
Oh okk i don’t think ill be there that time
U three go
Ill be at Inesh’s only
This nig has lab at 2
So won’t move ass till 2
Yee
Ask poochina pls
She no go home
Tell her to come tonight
Tell her plij come
Omg ig tanmayi also joining us
Not for pregame
Only in club
Yea she lil problem cus her mummy big problem
But ok
Yea😂😂😭
Ayyo
Im so proud of gay bro
2 goana for me
2 enough to make high no
Or one
Oki 2 for me
Bro
Old monk
We mix coke
If it doesn’t hit ill drink lil of fireball or whatever
Where
Yee
Gosnas r how much
Price
Shit lmao
One goana is how much small goanas
Smoll is?
Get teo
And one small old monk tetra
Okk
Anything that hits
Just incase goana no hitting
Nah nah
We die
One tetra two ppl
Gotta reach back
Valid
Get two fireball
Bas
Plus two huge goana
Oh ok one tetra
Yes mem🫡
Okk
Pls tell pallu to comeeee
Plij plu
210 tho plu
Ill give u 10 rupees
Plu
So 200
190 now plu
Woahhh
See pluuu
Someone call her and tell
170
185 pls pls
Sri dont send
Not u nig
Yeaa
Do we start pregaming like 7 30
Ill join if yall going
Im at Inesh’s
Mwaha
Sri?
Waw nigs
Then well sit and drink dtr
Tonight is our date night
Sorry i meant resolute
Me inesh
I think we doing a house date ig
We went on date anyway
But yea if we going ill have to come campus then get ready sign out and come to 22
Can we go a bit later
Like time
Ayyo
Point
Inesh’s sleeping
Stfu bitch
8 15 30
I’ll have to get an auto
Ik gand
Loudu
Im lazy to come campus this soon
Okk
Okk
What u guys wearing
Reached
Who dhruti
Niga keep my share from 1000 and send
I have no money to send also
❤️‍🔥 *BOLLYWOOD SOIRÉE*❤️‍🔥
I wanna partyyyyy
Im bored
99 for a ticket
Who who
Niggesh
Go lunch
Or go sun
Sat night who goes
Lun ok
If everyone else is coming u postpone dinner
Come jim niga
How slow
Date?
Anybody wants to drink?
I wanna eat
Maybe we go to a place where drinkers drink
Eaters eat
Exactly
Well go fot
Or well go cafe
Or we go club
Yea idm
Well go chill drink and eat somewhere
I might share a beer lmk who wants to
Thats what i said
Thalloor drink and go eat
I think aatreyi also wants to drink
Bro ive got craY stuff to tell
Abt atreyi
Shjdbejsjsj
Come nooo
We go gossip
Yea some guy likes her
Ineshs friend
And hes paavam
And i got to know name
Sjjdneksl
Inesh is red
As in classmate of inesh
Come nooo
We gossip
Ill tell at dinner only
When all bhand
Ok buzz atleast
Come pliss
845
Runnnnn
Dress up lil pls
As no lil
Lil
Like pants and one good top
Ayyo ok
Ill just wear a good top
Fot as of now
If any other place tell
Cos i don’t know any other place that fot
Good crazy chicken
Exactly
I want nice cheezy food
Tru
Any other place??
Pizza
Idm
Nah
Gay
Nop
Im ready
Right
Front
Come
We here onlu
In front of soda
Straight u walk
We sitting
Depends on exam
I wanna eat more than drink
Nah lets drink after intermahe no
Tomorrow class also
Yea any non drink place im in <This message was edited>
Intermahe is 14th
Alc really fucks up stamina and stomach
Dont wanna risk so yall see
This week sun we go drink
Upto yall anyway my interest over drinking is going away😞
We can go bacchus who wants to drink drink
Gonna be filled asf today
Guys
Anybody wants to go backdoor tomorrow
Ineshs asking
Some discount
150 it is
Lmk
Yea
Soho
That’s what
Without drinking
Yea nvm
Ill get tired
That’s what
Nvm
Guyj
If i can arrange bhaang <This message was edited>
We do side quest today 🤭🤭
We have Bhang and watch a brain rot movie
And build figures with air dry clay
I have air dry clay
Bro we did last holi
It was crazy
All of us were simply laughing
Yeaa
Ive put leave today
Cos we all gonna collapse fs
Gurls its there ok bhaang party
Bhaang is arranged ig
Overnight party
Ayyo why
Whose room can we do it in tho
Ohh
At night only
Like latee
Guys so when i come 22 ill get buttermilk or milkshake
What’s better
And how many
I think buttermilk good no for bang
Ill get 6 packets
Two milkshake
And somebody pls keep one big bottle ready
To mix shit
Ok wait 5 buttermilk 2 milkshake
And hes gonna give it at 11pm so can someone go outta 22 and collect
That time
Yea okk
Guys 14 for the buttermilk pls send
Sri gay don’t
Cos i owe
What we wearing tomorrow
Oooh
Idm if ppl r wearing
Saree🤭🤭
Exactlyy
I mean idt we can dance in shreya goshal concert
So idm wearing
But i wanna like ask around ki r people wearing trads
Plij
Khalid
U wanna saree
😞i wanna saree
Bro sridha my blue saree at ur place no
Okkii
I might consider wearing
For Shreya
5:30??
We lev
Huh
No wayyy
Bro plu ka lab ends 430
What yall wearing
Anything
Im overdressing
Sharara
I saw some going
But i didnt see ppl in trads
Like somw 10 girls i saw
Okk
I want a good gold jewellry
Is this fine
Okk
You deleted this message.
You deleted this message.
Take
Yess
Ok bro got it
Dont write the whole song
What was tanmayi wearing
Bikini
Explain how it looked
Bruh long story
That woman opened my cupboard and wore my clothes when i was home
Not like its the first time
But when im at home its so wrong
So i texted her saying atleast ask before wearing n all
And she goes oh sorry i feel guilty this that
Colour n stuff?
Bruh if she wears anything again id whoop her
White idt she has
Bruh if someone following revathi and she puts story pls send
Im in my spy mode
I have a white skirt😞
Can we like leave in overnight train come back next night
Idk when r the timings
Send photoa
I wanna stay one night bro
Atleast nice drinking we cudve done
But we cutting costs on train no
Like even if one airbnb 5k well all get less than a k
Split
Well take nice sunset pics
I mean for a one day trip thats enough
Bikini pic timeeee
My parents i think fine with trip
I told them
Didnt disclose place
But told one day full trip morning go evening come
Yall ask niga
Well book off
Ticks will go outta sale
All of yall ask n keep
Ab gokarna
We book tomorrow
@⁨Atreyee⁩ @⁨Avi Muhammed Sumbul⁩
R yall in
Well book ?
Yee okki
Khalid will do that whatever
She our travel agent
Agent bhai book kardo yaar
I gave u thirty today
Tum pani puri ho?
Accha toh wapas kardo 30 rich woman
Waw
Oi khalid
Is it open now
Rathnakara
Oh nvm
Whats lb
Left back
Field Positions
Yea u wanna sit with me n all☺️
Call up plu and ask
Her details look fine only
I met her at sp she said we can book tonight
She one year younger
Sahasra
Naman🛫
Waw
Wb some mmt or something
What does this mean
Yea
Whats irctc
Normal name?
Whats irctc😭
Oki
Whats that
Oki
Yeee
What’s the individual price
Same only?
Yeaa
Only early sunset
Or we go like morning morning photos
Yas
Then only well do photos
Yass
Yass
We drink and take pics
Fuck trek well nicely chill talk drink eat
Walk a bit
Side quests
Well see
Trek acc to situation
Hmm oki
Beach anytime fine only
You deleted this message.
You deleted this message.
You deleted this message.
You deleted this message.
You deleted this message.
You deleted this message.
You deleted this message.
You deleted this message.
You deleted this message.
You deleted this message.
You deleted this message.
You deleted this message.
You deleted this message.
You deleted this message.
You deleted this message.
You deleted this message.
You deleted this message.
You deleted this message.
You deleted this message.
You deleted this message.
You deleted this message.
You deleted this message.
You deleted this message.
You deleted this message.
You deleted this message.
You deleted this message.
You deleted this message.
You deleted this message.
You deleted this message.
You deleted this message.
You deleted this message.
You deleted this message.
You deleted this message.
You deleted this message.
You deleted this message.
You deleted this message.
You deleted this message.
You deleted this message.
You deleted this message.
You deleted this message.
You deleted this message.
You deleted this message.
You deleted this message.
You deleted this message.
You deleted this message.
You deleted this message.
You deleted this message.
You deleted this message.
You deleted this message.
You deleted this message.
You deleted this message.
You deleted this message.
You deleted this message.
You deleted this message.
You deleted this message.
You deleted this message.
You deleted this message.
You deleted this message.
You deleted this message.
You deleted this message.
You deleted this message.
You deleted this message.
You deleted this message.
You deleted this message.
You deleted this message.
You deleted this message.
You deleted this message.
You deleted this message.
You deleted this message.
You deleted this message.
You deleted this message.
You deleted this message.
You deleted this message.
You deleted this message.
You deleted this message.
You deleted this message.
You deleted this message.
You deleted this message.
You deleted this message.
You deleted this message.
You deleted this message.
You deleted this message.
You deleted this message.
You deleted this message.
You deleted this message.
You deleted this message.
You deleted this message.
You deleted this message.
You deleted this message.
You deleted this message.
You deleted this message.
You deleted this message.
You deleted this message.
You deleted this message.
You deleted this message.
You deleted this message.
You deleted this message.
You deleted this message.
You deleted this message.
You deleted this message.
You deleted this message.
You deleted this message.
You deleted this message.
You deleted this message.
You deleted this message.
You deleted this message.
You deleted this message.
You deleted this message.
You deleted this message.
You deleted this message.
You deleted this message.
You deleted this message.
You deleted this message.
You deleted this message.
You deleted this message.
You deleted this message.
You deleted this message.
You deleted this message.
You deleted this message.
You deleted this message.
You deleted this message.
You deleted this message.
You deleted this message.
You deleted this message.
You deleted this message.
You deleted this message.
You deleted this message.
You deleted this message.
You deleted this message.
You deleted this message.
You deleted this message.
You deleted this message.
You deleted this message.
You deleted this message.
You deleted this message.
You deleted this message.
You deleted this message.
You deleted this message.
You deleted this message.
You deleted this message.
You deleted this message.
You deleted this message.
You deleted this message.
You deleted this message.
You deleted this message.
You deleted this message.
You deleted this message.
You deleted this message.
You deleted this message.
You deleted this message.
You deleted this message.
You deleted this message.
You deleted this message.
You deleted this message.
You deleted this message.
You deleted this message.
You deleted this message.
You deleted this message.
You deleted this message.
You deleted this message.
You deleted this message.
You deleted this message.
You deleted this message.
You deleted this message.
You deleted this message.
You deleted this message.
You deleted this message.
You deleted this message.
You deleted this message.
You deleted this message.
You deleted this message.
You deleted this message.
You deleted this message.
You deleted this message.
You deleted this message.
You deleted this message.
You deleted this message.
You deleted this message.
You deleted this message.
You deleted this message.
You deleted this message.
Bruh
Yeee
Wait ill ai edit a chappal
Or barefoot idm
Gpt
My leg looks so scary
Nah ill beat u
U only
My foot looks so long like one sausage
Bro we ppl gonna think we cropped out atreyis bf
I hate that photo i ain’t even putting
Calm tf down
Oh gowd
Yea i look gand but that’s the only pic we all in
Cute tho hai
Itll go on diddy
Bro that feet of mine 😂😂
Disgusting
Pizza slice only
Men
Yea lmk if they ask
Ill write their name with my foot and send
Mallu guy name
Nooo
Nhi maa sod dunga tumhari
Sheyyy
Guys when we go pool
Whens sunset
Broo atreyi avantika
Can yall lend a playe
Plate
At night for dinner one plate short
Any of yall have plate😭
Can we borrow ur pan tonight for cooking 😞
Last dinner in house so me plu thought lil nice dinner
Maybe chicken
U left us niga
Ill do np
For u its a joke only everytime <This message was edited>
Yea okk
Lmaos
Actually dont
Keep it to urself
I can only pay when my month end comes bro
Ill get murdered
Papa is asking me whers the money he sent yesterday
Can i act like i paid
I think i paid 600 for both the cabs🤭🤭
Avantika gonna kill me
Ik ik
Who paid this
Oh rama
Nig tf is this name <This message was edited>
So demotivating
Don’t wanna be waking up to seeing ‘low cg’
Only one is supposed to fill the teams form or all
Also are we searching for a 4th member
I think we can take one more cos more the people lesser the work
Dhruti Rathnakara
Free till 430
Have a match at 5 so gotta get ready 430 ish
Ok where
Wb fc1?
If everyone’s fine
Else ill come ab side
That’s called ab side
Me in room
Got cancelled
Bruh if he isn’t seeing grp whyll he see ur dms
Oh should i leave then
Coming
5 min
Do yall stay out?
Im free anyway
If yall have any time gap free tell
Well go tuesday then no worries
Or we could text sir and ask if hes free after 430 on monday
Shets
Then tues
I dont think this sirs gonna grade
Hes our mentor only
No problem bro tuesday will go
No hurry
We can do this
Anyway two days holiday well sort our idea out
Call pe i can join not physically
Monday?
Free
Bro i thought tomorrow
Tell properly🙏
Free only
Done
Real
No was busy with revels inauguration till now ill do now
Yessir will search by tonight
Also if yall have anything typed out abt what yall found after research lmk
We cud do the jio thing
Jio launching free data and cheap plans
Also easy to collect surveys cos mostly students have either jio or airtel
Gand
Or this unilever ka project shakti thing
Its like they distributed work to rural women  and trained them as entreprenreneurs
Valid
Jio looks easiest as of now
Data collection ez
Idt anybody coming lmao
Guys we gotta meet prof
Cos synopsis submission
Can we meet today??
Did anybody ask him if he fine with it
The topic
Same
Now only well go
Shit i totally forgot we had to go bro
Crazy
